,State_County
915,Virginia_Fluvanna
916,Texas_Foard
917,Wisconsin_Fond du Lac
918,Illinois_Ford
919,Kansas_Ford
920,Pennsylvania_Forest
921,Wisconsin_Forest
922,Mississippi_Forrest
923,Georgia_Forsyth
924,North Carolina_Forsyth
925,Texas_Fort Bend
926,North Dakota_Foster
927,Indiana_Fountain
928,Alabama_Franklin
929,Arkansas_Franklin
930,Florida_Franklin
931,Georgia_Franklin
932,Idaho_Franklin
933,Illinois_Franklin
934,Indiana_Franklin
935,Iowa_Franklin
936,Kansas_Franklin
937,Kentucky_Franklin
938,Louisiana_Franklin
939,Maine_Franklin
940,Massachusetts_Franklin
941,Mississippi_Franklin
942,Missouri_Franklin
943,Nebraska_Franklin
944,New York_Franklin
945,North Carolina_Franklin
946,Ohio_Franklin
947,Pennsylvania_Franklin
948,Tennessee_Franklin
949,Texas_Franklin
950,Vermont_Franklin
951,Virginia_Franklin
952,Washington_Franklin
953,Maryland_Frederick
954,Virginia_Frederick
955,Minnesota_Freeborn
956,Texas_Freestone
957,Colorado_Fremont
958,Idaho_Fremont
959,Iowa_Fremont
960,Wyoming_Fremont
961,California_Fresno
962,Texas_Frio
963,Nebraska_Frontier
964,Arkansas_Fulton
965,Georgia_Fulton
966,Illinois_Fulton
967,Indiana_Fulton
968,Kentucky_Fulton
969,New York_Fulton
970,Ohio_Fulton
971,Pennsylvania_Fulton
972,Nebraska_Furnas
973,Florida_Gadsden
974,Nebraska_Gage
975,Texas_Gaines
976,Illinois_Gallatin
977,Kentucky_Gallatin
978,Montana_Gallatin
979,Ohio_Gallia
980,Texas_Galveston
981,Nebraska_Garden
982,Colorado_Garfield
983,Montana_Garfield
984,Nebraska_Garfield
985,Oklahoma_Garfield
986,Utah_Garfield
987,Washington_Garfield
988,Arkansas_Garland
989,Kentucky_Garrard
990,Maryland_Garrett
991,Oklahoma_Garvin
992,Texas_Garza
993,Missouri_Gasconade
994,North Carolina_Gaston
995,North Carolina_Gates
996,Kansas_Geary
997,Ohio_Geauga
998,Idaho_Gem
999,Michigan_Genesee
1000,New York_Genesee
1001,Alabama_Geneva
1002,Missouri_Gentry
1003,Mississippi_George
1004,South Carolina_Georgetown
1005,Indiana_Gibson
1006,Tennessee_Gibson
1007,Arizona_Gila
1008,Florida_Gilchrist
1009,Tennessee_Giles
1010,Virginia_Giles
1011,Texas_Gillespie
1012,Oregon_Gilliam
1013,Georgia_Gilmer
1014,West Virginia_Gilmer
1015,Colorado_Gilpin
1016,Montana_Glacier
1017,Florida_Glades
1018,Michigan_Gladwin
1019,Georgia_Glascock
1020,Texas_Glasscock
1021,California_Glenn
1022,New Jersey_Gloucester
1023,Virginia_Gloucester
1024,Georgia_Glynn
1025,Michigan_Gogebic
1026,Montana_Golden Valley
1027,North Dakota_Golden Valley
1028,Texas_Goliad
1029,Texas_Gonzales
1030,Virginia_Goochland
1031,Minnesota_Goodhue
1032,Idaho_Gooding
1033,Georgia_Gordon
1034,Wyoming_Goshen
1035,Nebraska_Gosper
1036,Kansas_Gove
1037,Georgia_Grady
1038,Oklahoma_Grady
1039,New Hampshire_Grafton
1040,Arizona_Graham
1041,Kansas_Graham
1042,North Carolina_Graham
1043,Tennessee_Grainger
1044,Colorado_Grand
1045,Utah_Grand
1046,North Dakota_Grand Forks
1047,Vermont_Grand Isle
1048,Michigan_Grand Traverse
1049,Montana_Granite
1050,Arkansas_Grant
1051,Indiana_Grant
1052,Kansas_Grant
1053,Kentucky_Grant
1054,Louisiana_Grant
1055,Minnesota_Grant
1056,Nebraska_Grant
1057,New Mexico_Grant
1058,North Dakota_Grant
1059,Oklahoma_Grant
1060,Oregon_Grant
1061,South Dakota_Grant
1062,Washington_Grant
1063,West Virginia_Grant
1064,Wisconsin_Grant
1065,North Carolina_Granville
1066,Michigan_Gratiot
1067,Kentucky_Graves
1068,Kansas_Gray
1069,Texas_Gray
1070,Washington_Grays Harbor
1071,Kentucky_Grayson
1072,Texas_Grayson
1073,Virginia_Grayson
1074,Kansas_Greeley
1075,Nebraska_Greeley
1076,Kentucky_Green
1077,Wisconsin_Green
1078,Wisconsin_Green Lake
1079,West Virginia_Greenbrier
1080,Alabama_Greene
1081,Arkansas_Greene
1082,Georgia_Greene
1083,Illinois_Greene
1084,Indiana_Greene
1085,Iowa_Greene
1086,Mississippi_Greene
1087,Missouri_Greene
1088,New York_Greene
1089,North Carolina_Greene
1090,Ohio_Greene
1091,Pennsylvania_Greene
1092,Tennessee_Greene
1093,Virginia_Greene
1094,Arizona_Greenlee
1095,Virginia_Greensville
1096,Kentucky_Greenup
1097,South Carolina_Greenville
1098,Kansas_Greenwood
1099,South Carolina_Greenwood
1100,Oklahoma_Greer
1101,Texas_Gregg
1102,South Dakota_Gregory
1103,Mississippi_Grenada
1104,North Dakota_Griggs
1105,Texas_Grimes
1106,Illinois_Grundy
1107,Iowa_Grundy
1108,Missouri_Grundy
1109,Tennessee_Grundy
1110,New Mexico_Guadalupe
1111,Texas_Guadalupe
1112,Ohio_Guernsey
1113,North Carolina_Guilford
1114,Florida_Gulf
1115,Colorado_Gunnison
1116,Iowa_Guthrie
1117,Georgia_Gwinnett
1118,South Dakota_Haakon
1119,Georgia_Habersham
1120,Alaska_Haines
1121,Alabama_Hale
1122,Texas_Hale
