Year,seed,sobol,scenario,recycling,trash,wishcycling
3,0,FALSE,Oregon,0.728082929,0.111577814,0.160339257
3,0,FALSE,Pennsylvania,0.188623834,0.762367472,0.049008694
3,0,FALSE,Rhode Island,0.421802832,0.502848584,0.075348584
3,0,FALSE,South Carolina,0.071903389,0.904236548,0.023860063
3,0,FALSE,South Dakota,0.203148496,0.748694653,0.04815685
3,0,FALSE,Tennessee,0.08398308,0.893358626,0.022658294
3,0,FALSE,Texas,0.1570764,0.801221149,0.041702451
3,0,FALSE,Utah,0.189659437,0.750708714,0.059631849
3,0,FALSE,Vermont,0.574370444,0.310989618,0.114639938
3,0,FALSE,Virginia,0.134798995,0.828596687,0.036604318
3,0,FALSE,Washington,0.293032484,0.643420081,0.063547434
3,0,FALSE,West Virginia,0.146121818,0.81573281,0.038145372
3,0,FALSE,Wisconsin,0.262264151,0.678867925,0.058867925
3,0,FALSE,Wyoming,0.144136346,0.80139867,0.054464984
4,0,FALSE,Alabama,0.095621212,0.87069697,0.033681818
4,0,FALSE,Alaska,0.064178241,0.913234954,0.022586806
4,0,FALSE,Arizona,0.197704537,0.749285459,0.053010004
4,0,FALSE,Arkansas,0.090104803,0.879558405,0.030336793
4,0,FALSE,California,0.6145491,0.251692097,0.133758803
4,0,FALSE,Colorado,0.113148148,0.846626016,0.040225836
4,0,FALSE,Connecticut,0.535805918,0.340611421,0.123582661
4,0,FALSE,Delaware,0.136063368,0.827777778,0.036158854
4,0,FALSE,Florida,0.10737898,0.854024529,0.038596491
4,0,FALSE,Georgia,0.118330103,0.84438792,0.037281977
4,0,FALSE,Hawaii,0.502469136,0.38567692,0.111853944
4,0,FALSE,Idaho,0.15066818,0.808530846,0.040800975
4,0,FALSE,Illinois,0.153101669,0.809881423,0.037016908
4,0,FALSE,Indiana,0.19649177,0.753287037,0.050221193
4,0,FALSE,Iowa,0.346936443,0.571844993,0.081218564
4,0,FALSE,Kansas,0.211511203,0.738837449,0.049651349
4,0,FALSE,Kentucky,0.115428631,0.849968789,0.03460258
4,0,FALSE,Louisiana,0.085925197,0.887155512,0.026919291
4,0,FALSE,Maine,0.7993762,0.059954148,0.140669652
4,0,FALSE,Maryland,0.359864045,0.571126761,0.069009194
4,0,FALSE,Massachusetts,0.413575016,0.496165516,0.090259469
4,0,FALSE,Michigan,0.632560137,0.233218786,0.134221077
4,0,FALSE,Minnesota,0.27502073,0.662738391,0.062240879
4,0,FALSE,Mississippi,0.101190476,0.864339339,0.034470184
4,0,FALSE,Missouri,0.122924354,0.835526855,0.04154879
4,0,FALSE,Montana,0.149875703,0.810295071,0.039829226
4,0,FALSE,Nebraska,0.166471631,0.794716312,0.038812057
4,0,FALSE,Nevada,0.187226814,0.765867769,0.046905418
4,0,FALSE,New Hampshire,0.339170002,0.59527349,0.065556508
4,0,FALSE,New Jersey,0.23683645,0.705281539,0.057882012
4,0,FALSE,New Mexico,0.142711519,0.820682977,0.036605505
4,0,FALSE,New York,0.605861631,0.289853315,0.104285054
4,0,FALSE,North Carolina,0.122639741,0.844461486,0.032898773
4,0,FALSE,North Dakota,0.19048537,0.75268881,0.05682582
4,0,FALSE,Ohio,0.139545356,0.82360026,0.036854384
4,0,FALSE,Oklahoma,0.100914903,0.867096561,0.031988536
4,0,FALSE,Oregon,0.736263687,0.110886735,0.152849578
4,0,FALSE,Pennsylvania,0.184600297,0.766613656,0.048786047
4,0,FALSE,Rhode Island,0.415152505,0.508071895,0.076775599
4,0,FALSE,South Carolina,0.071374913,0.90610587,0.022519217
4,0,FALSE,South Dakota,0.19642335,0.756719925,0.046856725
4,0,FALSE,Tennessee,0.081244549,0.897257108,0.021498343
4,0,FALSE,Texas,0.155604759,0.805600286,0.038794954
4,0,FALSE,Utah,0.188655822,0.753262938,0.05808124
4,0,FALSE,Vermont,0.581533024,0.306179589,0.112287387
4,0,FALSE,Virginia,0.133114647,0.830034431,0.036850921
4,0,FALSE,Washington,0.289059616,0.651338132,0.059602252
4,0,FALSE,West Virginia,0.141024268,0.821556031,0.0374197
4,0,FALSE,Wisconsin,0.264287212,0.677033543,0.058679245
4,0,FALSE,Wyoming,0.138854656,0.809526604,0.05161874
5,0,FALSE,Alabama,0.091646465,0.875732323,0.032621212
5,0,FALSE,Alaska,0.063929398,0.913368056,0.022702546
5,0,FALSE,Arizona,0.196137013,0.75217935,0.051683637
5,0,FALSE,Arkansas,0.089728327,0.882107245,0.028164428
5,0,FALSE,California,0.618710876,0.246493545,0.134795579
5,0,FALSE,Colorado,0.109250226,0.853690154,0.037059621
5,0,FALSE,Connecticut,0.540487275,0.336695634,0.122817091
5,0,FALSE,Delaware,0.133350694,0.831032986,0.035616319
5,0,FALSE,Florida,0.106773879,0.855644899,0.037581222
5,0,FALSE,Georgia,0.114647933,0.849604328,0.035747739
5,0,FALSE,Hawaii,0.511498221,0.380001046,0.108500732
5,0,FALSE,Idaho,0.147243234,0.81318709,0.039569676
5,0,FALSE,Illinois,0.147397892,0.816600791,0.036001318
5,0,FALSE,Indiana,0.192124486,0.758919753,0.048955761
5,0,FALSE,Iowa,0.345679012,0.570530407,0.083790581
5,0,FALSE,Kansas,0.205612711,0.746679241,0.047708048
5,0,FALSE,Kentucky,0.112832917,0.854213483,0.0329536
5,0,FALSE,Louisiana,0.088987314,0.883273185,0.027739501
5,0,FALSE,Maine,0.801066325,0.059660909,0.139272766
5,0,FALSE,Maryland,0.355961463,0.577503912,0.066534624
5,0,FALSE,Massachusetts,0.412397991,0.500251099,0.08735091
5,0,FALSE,Michigan,0.639054983,0.228831615,0.132113402
5,0,FALSE,Minnesota,0.26894175,0.669812396,0.061245854
5,0,FALSE,Mississippi,0.093988631,0.874351137,0.031660232
5,0,FALSE,Missouri,0.12099221,0.838781263,0.040226527
5,0,FALSE,Montana,0.143650022,0.820784695,0.035565283
5,0,FALSE,Nebraska,0.160567376,0.799450355,0.03998227
5,0,FALSE,Nevada,0.182603306,0.769990817,0.047405877
5,0,FALSE,New Hampshire,0.33497713,0.601095864,0.063927006
5,0,FALSE,New Jersey,0.231393724,0.714001719,0.054604556
5,0,FALSE,New Mexico,0.135005097,0.82941896,0.035575943
5,0,FALSE,New York,0.61487064,0.285389235,0.099740125
