CAS #,Formatted CAS #,Substance Name,Global Warming Air (kg CO2 eq / kg substance),Acidification Air (kg SO2 eq / kg substance),HH Particulate Air (PM2.5 eq / kg substance),Eutrophication Air (kg N eq / kg substance),Eutrophication Water (kg N eq / kg substance),Ozone Depletion Air (kg CFC-11 eq / kg substance),Smog Air (kg O3 eq / kg substance),"Ecotox. CF [CTUeco/kg], Em.airU, freshwater","Ecotox. CF [CTUeco/kg], Em.airC, freshwater","Ecotox. CF [CTUeco/kg], Em.fr.waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.sea waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.nat.soilC, freshwater","Ecotox. CF [CTUeco/kg], Em.agr.soilC, freshwater","Human health CF  [CTUcancer/kg], Emission to urban air, cancer","Human health CF  [CTUnoncancer/kg], Emission to urban air, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. rural air, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. rural air, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. freshwater, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. freshwater, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. sea water, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. sea water, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. natural soil, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. natural soil, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. agric. Soil, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. agric. Soil, non-canc."
526738,526738,"1,2,3-TRIMETHYL BENZENE",0,0,0,0,0,0,11.97097436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1678973,1678973,"1,2,3-TRIMETHYL CYCLOHEXANE",0,0,0,0,0,0,1.220617949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,x,"1,2,3-TRIMETHYL CYCLOPENTANE",0,0,0,0,0,0,1.625184615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634662,634662,"1,2,3,4-TETRACHLOROBENZENE",0,0,0,0,0,0,0,207.0345221,205.0927315,12764.79346,45.72396798,94.83173083,94.83173083,0,0,0,0,0,0,0,0,0,0,0,0
488233,488233,"1,2,3,4-TETRAMETHYL BENZENE",0,0,0,0,0,0,9.257871795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608731,608731,"1,2,3,4,5,6-HEXACHLOROCYCLOHEXANE",0,0,0,0,0,0,0,9327.249985,9069.685983,140387.4349,428.1183587,10178.75333,10178.75333,4.91E-05,0,4.59E-05,0,7.88E-05,0,4.76E-06,0,1.31E-05,0,2.20E-05,0
3389717,3389717,"1,2,3,4,7,7-HEXACHLORO-2,5-NORBORNADIENE",0,0,0,0,0,0,0,2.08906569,1.343430866,41008.63941,0.517568417,403.4063011,403.4063011,0,0,0,0,0,0,0,0,0,0,0,0
634902,634902,"1,2,3,5-TETRACHLOROBENZENE",0,0,0,0,0,0,0,15.67320971,15.57983082,2001.283931,3.599549243,28.02662448,28.02662448,0,0,0,0,0,0,0,0,0,0,0,0
527537,527537,"1,2,3,5-TETRAMETHYL BENZENE",0,0,0,0,0,0,9.257871795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57653857,57653857,"1,2,3,6,7,8-HEXACHLORODIBENZO-P-DIOXIN",0,0,0,0,0,0,0,355243.0479,227696.2483,8893873.607,374.8967586,5103.256065,5103.256065,0,0,0,0,0,0,0,0,0,0,0,0
40321764,40321764,"1,2,3,7,8-PENTACHLORODIBENZO-P-DIOXIN",0,0,0,0,0,0,0,25199320.71,16717429.47,580485279.4,21093.01673,384313.7304,384313.7304,0,0,0,0,0,0,0,0,0,0,0,0
67989235,67989235,"1,2,4-BENZENETRICARBOXYLIC ACID, DECYL OCTYL ESTER",0,0,0,0,0,0,0,0.024798005,0.015195489,0.661571334,4.81E-06,2.40E-05,2.40E-05,0,0,0,0,0,0,0,0,0,0,0,0
37971361,37971361,"1,2,4-BUTANETRICARBOXYLIC ACID, 2-PHOSPHONO-",0,0,0,0,0,0,0,3.354443245,3.052756912,27.95735824,8.02E-14,3.049734861,3.049734861,0,0,0,0,0,0,0,0,0,0,0,0
x,x,"1,2,4-C10 TRISUBSTITUTED BENZENES",0,0,0,0,0,0,7.549205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,x,"1,2,4-C11 TRISUBSTITUTED BENZENES",0,0,0,0,0,0,6.621282051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,x,"1,2,4-C12 TRISUBSTITUTED BENZENES",0,0,0,0,0,0,5.943307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,x,"1,2,4-C13 TRISUBSTITUTED BENZENES",0,0,0,0,0,0,5.347076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,x,"1,2,4-C14 TRISUBSTITUTED BENZENES",0,0,0,0,0,0,4.888948718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
