product,process,conjoined_flownames,location
"Transport, light commercial truck, gasoline powered, South","Transport, light commercial truck, gasoline powered, South@Northern America","Transport, light commercial truck, gasoline powered@Transport, light commercial truck, gasoline powered, South@Northern America",Northern America
"Transport, light commercial truck, gasoline powered, Southeast","Transport, light commercial truck, gasoline powered, Southeast@Northern America","Transport, light commercial truck, gasoline powered@Transport, light commercial truck, gasoline powered, Southeast@Northern America",Northern America
"Transport, light commercial truck, gasoline powered, Southwest","Transport, light commercial truck, gasoline powered, Southwest@Northern America","Transport, light commercial truck, gasoline powered@Transport, light commercial truck, gasoline powered, Southwest@Northern America",Northern America
"Transport, light commercial truck, gasoline powered, West North Central","Transport, light commercial truck, gasoline powered, West North Central@Northern America","Transport, light commercial truck, gasoline powered@Transport, light commercial truck, gasoline powered, West North Central@Northern America",Northern America
"Transport, light commercial truck, gasoline powered, West","Transport, light commercial truck, gasoline powered, West@Northern America","Transport, light commercial truck, gasoline powered@Transport, light commercial truck, gasoline powered, West@Northern America",Northern America
"Transport, light commercial truck, gasoline powered","Transport, light commercial truck, gasoline powered@Northern America","Transport, light commercial truck, gasoline powered@Transport, light commercial truck, gasoline powered@Northern America",Northern America
"Transport, motor home, diesel powered","Transport, motor home, diesel powered@Northern America","Transport, motor home, diesel powered@Transport, motor home, diesel powered@Northern America",Northern America
"Transport, motor home, gasoline powered","Transport, motor home, gasoline powered@Northern America","Transport, motor home, gasoline powered@Transport, motor home, gasoline powered@Northern America",Northern America
"Transport, motorcycle, gasoline powered","Transport, motorcycle, gasoline powered@Northern America","Transport, motorcycle, gasoline powered@Transport, motorcycle, gasoline powered@Northern America",Northern America
"Transport, ocean freighter, average fuel mix","Transport, ocean freighter, average fuel mix@United States","Transport, ocean freighter, average fuel mix@Transport, ocean freighter, average fuel mix@United States",United States
"Transport, ocean freighter, diesel powered","Transport, ocean freighter, diesel powered@United States","Transport, ocean freighter, diesel powered@Transport, ocean freighter, diesel powered@United States",United States
"Transport, ocean freighter, residual fuel oil powered","Transport, ocean freighter, residual fuel oil powered@United States","Transport, ocean freighter, residual fuel oil powered@Transport, ocean freighter, residual fuel oil powered@United States",United States
"Transport, passenger car, diesel powered","Transport, passenger car, diesel powered@Northern America","Transport, passenger car, diesel powered@Transport, passenger car, diesel powered@Northern America",Northern America
"Transport, passenger car, gasoline powered","Transport, passenger car, gasoline powered@Northern America","Transport, passenger car, gasoline powered@Transport, passenger car, gasoline powered@Northern America",Northern America
"Transport, passenger truck, diesel powered","Transport, passenger truck, diesel powered@Northern America","Transport, passenger truck, diesel powered@Transport, passenger truck, diesel powered@Northern America",Northern America
"Transport, passenger truck, gasoline powered","Transport, passenger truck, gasoline powered@Northern America","Transport, passenger truck, gasoline powered@Transport, passenger truck, gasoline powered@Northern America",Northern America
"Transport, pipeline, natural gas","Transport, pipeline, natural gas@Northern America","Transport, pipeline, natural gas@Transport, pipeline, natural gas@Northern America",Northern America
"Transport, pipeline, unspecified petroleum products","Transport, pipeline, unspecified petroleum products@Northern America","Transport, pipeline, unspecified petroleum products@Transport, pipeline, unspecified petroleum products@Northern America",Northern America
"Transport, refuse truck, diesel powered, Alaska","Transport, refuse truck, diesel powered, Alaska@Northern America","Transport, refuse truck, diesel powered@Transport, refuse truck, diesel powered, Alaska@Northern America",Northern America
"Transport, refuse truck, diesel powered, Central","Transport, refuse truck, diesel powered, Central@Northern America","Transport, refuse truck, diesel powered@Transport, refuse truck, diesel powered, Central@Northern America",Northern America
"Transport, refuse truck, diesel powered, East North Central","Transport, refuse truck, diesel powered, East North Central@Northern America","Transport, refuse truck, diesel powered@Transport, refuse truck, diesel powered, East North Central@Northern America",Northern America
"Transport, refuse truck, diesel powered, Hawaii","Transport, refuse truck, diesel powered, Hawaii@Northern America","Transport, refuse truck, diesel powered@Transport, refuse truck, diesel powered, Hawaii@Northern America",Northern America
"Transport, refuse truck, diesel powered, Northeast region","Transport, refuse truck, diesel powered, Northeast region@Northern America","Transport, refuse truck, diesel powered@Transport, refuse truck, diesel powered, Northeast region@Northern America",Northern America
"Transport, refuse truck, diesel powered, Northwest","Transport, refuse truck, diesel powered, Northwest@Northern America","Transport, refuse truck, diesel powered@Transport, refuse truck, diesel powered, Northwest@Northern America",Northern America
"Transport, refuse truck, diesel powered, South","Transport, refuse truck, diesel powered, South@Northern America","Transport, refuse truck, diesel powered@Transport, refuse truck, diesel powered, South@Northern America",Northern America
"Transport, refuse truck, diesel powered, Southeast","Transport, refuse truck, diesel powered, Southeast@Northern America","Transport, refuse truck, diesel powered@Transport, refuse truck, diesel powered, Southeast@Northern America",Northern America
"Transport, refuse truck, diesel powered, Southwest","Transport, refuse truck, diesel powered, Southwest@Northern America","Transport, refuse truck, diesel powered@Transport, refuse truck, diesel powered, Southwest@Northern America",Northern America
"Transport, refuse truck, diesel powered, West North Central","Transport, refuse truck, diesel powered, West North Central@Northern America","Transport, refuse truck, diesel powered@Transport, refuse truck, diesel powered, West North Central@Northern America",Northern America
"Transport, refuse truck, diesel powered, West region","Transport, refuse truck, diesel powered, West region@Northern America","Transport, refuse truck, diesel powered@Transport, refuse truck, diesel powered, West region@Northern America",Northern America
"Transport, refuse truck, diesel powered","Transport, refuse truck, diesel powered@Northern America","Transport, refuse truck, diesel powered@Transport, refuse truck, diesel powered@Northern America",Northern America
"Transport, refuse truck, gasoline powered","Transport, refuse truck, gasoline powered@Northern America","Transport, refuse truck, gasoline powered@Transport, refuse truck, gasoline powered@Northern America",Northern America
"Transport, school bus, diesel powered, Alaska","Transport, school bus, diesel powered, Alaska@Northern America","Transport, school bus, diesel powered@Transport, school bus, diesel powered, Alaska@Northern America",Northern America
"Transport, school bus, diesel powered, Central","Transport, school bus, diesel powered, Central@Northern America","Transport, school bus, diesel powered@Transport, school bus, diesel powered, Central@Northern America",Northern America
"Transport, school bus, diesel powered, East North Central","Transport, school bus, diesel powered, East North Central@Northern America","Transport, school bus, diesel powered@Transport, school bus, diesel powered, East North Central@Northern America",Northern America
"Transport, school bus, diesel powered, Hawaii","Transport, school bus, diesel powered, Hawaii@Northern America","Transport, school bus, diesel powered@Transport, school bus, diesel powered, Hawaii@Northern America",Northern America
"Transport, school bus, diesel powered, Northeast","Transport, school bus, diesel powered, Northeast@Northern America","Transport, school bus, diesel powered@Transport, school bus, diesel powered, Northeast@Northern America",Northern America
"Transport, school bus, diesel powered, Northwest","Transport, school bus, diesel powered, Northwest@Northern America","Transport, school bus, diesel powered@Transport, school bus, diesel powered, Northwest@Northern America",Northern America
"Transport, school bus, diesel powered, South","Transport, school bus, diesel powered, South@Northern America","Transport, school bus, diesel powered@Transport, school bus, diesel powered, South@Northern America",Northern America
"Transport, school bus, diesel powered, Southeast","Transport, school bus, diesel powered, Southeast@Northern America","Transport, school bus, diesel powered@Transport, school bus, diesel powered, Southeast@Northern America",Northern America
"Transport, school bus, diesel powered, Southwest","Transport, school bus, diesel powered, Southwest@Northern America","Transport, school bus, diesel powered@Transport, school bus, diesel powered, Southwest@Northern America",Northern America
"Transport, school bus, diesel powered, West North Central","Transport, school bus, diesel powered, West North Central@Northern America","Transport, school bus, diesel powered@Transport, school bus, diesel powered, West North Central@Northern America",Northern America
"Transport, school bus, diesel powered, West","Transport, school bus, diesel powered, West@Northern America","Transport, school bus, diesel powered@Transport, school bus, diesel powered, West@Northern America",Northern America
"Transport, school bus, diesel powered","Transport, school bus, diesel powered@Northern America","Transport, school bus, diesel powered@Transport, school bus, diesel powered@Northern America",Northern America
"Transport, school bus, gasoline powered","Transport, school bus, gasoline powered@Northern America","Transport, school bus, gasoline powered@Transport, school bus, gasoline powered@Northern America",Northern America
"Transport, single unit truck, diesel powered","Transport, single unit truck, diesel powered@Northern America","Transport, single unit truck, diesel powered@Transport, single unit truck, diesel powered@Northern America",Northern America
"Transport, single unit truck, gasoline powered","Transport, single unit truck, gasoline powered@Northern America","Transport, single unit truck, gasoline powered@Transport, single unit truck, gasoline powered@Northern America",Northern America
"Transport, single unit truck, long-haul, diesel powered, Alaska","Transport, single unit truck, long-haul, diesel powered, Alaska@Northern America","Transport, single unit truck, long-haul, diesel powered@Transport, single unit truck, long-haul, diesel powered, Alaska@Northern America",Northern America
"Transport, single unit truck, long-haul, diesel powered, Central","Transport, single unit truck, long-haul, diesel powered, Central@Northern America","Transport, single unit truck, long-haul, diesel powered@Transport, single unit truck, long-haul, diesel powered, Central@Northern America",Northern America
"Transport, single unit truck, long-haul, diesel powered, East North Central","Transport, single unit truck, long-haul, diesel powered, East North Central@Northern America","Transport, single unit truck, long-haul, diesel powered@Transport, single unit truck, long-haul, diesel powered, East North Central@Northern America",Northern America
"Transport, single unit truck, long-haul, diesel powered, Hawaii","Transport, single unit truck, long-haul, diesel powered, Hawaii@Northern America","Transport, single unit truck, long-haul, diesel powered@Transport, single unit truck, long-haul, diesel powered, Hawaii@Northern America",Northern America
"Transport, single unit truck, long-haul, diesel powered, Northeast region","Transport, single unit truck, long-haul, diesel powered, Northeast region@Northern America","Transport, single unit truck, long-haul, diesel powered@Transport, single unit truck, long-haul, diesel powered, Northeast region@Northern America",Northern America
"Transport, single unit truck, long-haul, diesel powered, Northwest","Transport, single unit truck, long-haul, diesel powered, Northwest@Northern America","Transport, single unit truck, long-haul, diesel powered@Transport, single unit truck, long-haul, diesel powered, Northwest@Northern America",Northern America
"Transport, single unit truck, long-haul, diesel powered, South","Transport, single unit truck, long-haul, diesel powered, South@Northern America","Transport, single unit truck, long-haul, diesel powered@Transport, single unit truck, long-haul, diesel powered, South@Northern America",Northern America
"Transport, single unit truck, long-haul, diesel powered, Southeast","Transport, single unit truck, long-haul, diesel powered, Southeast@Northern America","Transport, single unit truck, long-haul, diesel powered@Transport, single unit truck, long-haul, diesel powered, Southeast@Northern America",Northern America
"Transport, single unit truck, long-haul, diesel powered, Southwest","Transport, single unit truck, long-haul, diesel powered, Southwest@Northern America","Transport, single unit truck, long-haul, diesel powered@Transport, single unit truck, long-haul, diesel powered, Southwest@Northern America",Northern America
"Transport, single unit truck, long-haul, diesel powered, West North Central","Transport, single unit truck, long-haul, diesel powered, West North Central@Northern America","Transport, single unit truck, long-haul, diesel powered@Transport, single unit truck, long-haul, diesel powered, West North Central@Northern America",Northern America
"Transport, single unit truck, long-haul, diesel powered, West","Transport, single unit truck, long-haul, diesel powered, West@Northern America","Transport, single unit truck, long-haul, diesel powered@Transport, single unit truck, long-haul, diesel powered, West@Northern America",Northern America
"Transport, single unit truck, long-haul, diesel powered","Transport, single unit truck, long-haul, diesel powered@Northern America","Transport, single unit truck, long-haul, diesel powered@Transport, single unit truck, long-haul, diesel powered@Northern America",Northern America
"Transport, single unit truck, long-haul, gasoline powered, Alaska","Transport, single unit truck, long-haul, gasoline powered, Alaska@Northern America","Transport, single unit truck, long-haul, gasoline powered@Transport, single unit truck, long-haul, gasoline powered, Alaska@Northern America",Northern America
"Transport, single unit truck, long-haul, gasoline powered, Central","Transport, single unit truck, long-haul, gasoline powered, Central@Northern America","Transport, single unit truck, long-haul, gasoline powered@Transport, single unit truck, long-haul, gasoline powered, Central@Northern America",Northern America
"Transport, single unit truck, long-haul, gasoline powered, East North Central","Transport, single unit truck, long-haul, gasoline powered, East North Central@Northern America","Transport, single unit truck, long-haul, gasoline powered@Transport, single unit truck, long-haul, gasoline powered, East North Central@Northern America",Northern America
"Transport, single unit truck, long-haul, gasoline powered, Hawaii","Transport, single unit truck, long-haul, gasoline powered, Hawaii@Northern America","Transport, single unit truck, long-haul, gasoline powered@Transport, single unit truck, long-haul, gasoline powered, Hawaii@Northern America",Northern America
"Transport, single unit truck, long-haul, gasoline powered, Northeast region","Transport, single unit truck, long-haul, gasoline powered, Northeast region@Northern America","Transport, single unit truck, long-haul, gasoline powered@Transport, single unit truck, long-haul, gasoline powered, Northeast region@Northern America",Northern America
"Transport, single unit truck, long-haul, gasoline powered, Northwest","Transport, single unit truck, long-haul, gasoline powered, Northwest@Northern America","Transport, single unit truck, long-haul, gasoline powered@Transport, single unit truck, long-haul, gasoline powered, Northwest@Northern America",Northern America
"Transport, single unit truck, long-haul, gasoline powered, South","Transport, single unit truck, long-haul, gasoline powered, South@Northern America","Transport, single unit truck, long-haul, gasoline powered@Transport, single unit truck, long-haul, gasoline powered, South@Northern America",Northern America
"Transport, single unit truck, long-haul, gasoline powered, Southeast","Transport, single unit truck, long-haul, gasoline powered, Southeast@Northern America","Transport, single unit truck, long-haul, gasoline powered@Transport, single unit truck, long-haul, gasoline powered, Southeast@Northern America",Northern America
"Transport, single unit truck, long-haul, gasoline powered, Southwest","Transport, single unit truck, long-haul, gasoline powered, Southwest@Northern America","Transport, single unit truck, long-haul, gasoline powered@Transport, single unit truck, long-haul, gasoline powered, Southwest@Northern America",Northern America
"Transport, single unit truck, long-haul, gasoline powered, West North Central","Transport, single unit truck, long-haul, gasoline powered, West North Central@Northern America","Transport, single unit truck, long-haul, gasoline powered@Transport, single unit truck, long-haul, gasoline powered, West North Central@Northern America",Northern America
"Transport, single unit truck, long-haul, gasoline powered, West","Transport, single unit truck, long-haul, gasoline powered, West@Northern America","Transport, single unit truck, long-haul, gasoline powered@Transport, single unit truck, long-haul, gasoline powered, West@Northern America",Northern America
"Transport, single unit truck, long-haul, gasoline powered","Transport, single unit truck, long-haul, gasoline powered@Northern America","Transport, single unit truck, long-haul, gasoline powered@Transport, single unit truck, long-haul, gasoline powered@Northern America",Northern America
"Transport, single unit truck, short-haul, diesel powered, Alaska","Transport, single unit truck, short-haul, diesel powered, Alaska@Northern America","Transport, single unit truck, short-haul, diesel powered@Transport, single unit truck, short-haul, diesel powered, Alaska@Northern America",Northern America
"Transport, single unit truck, short-haul, diesel powered, Central","Transport, single unit truck, short-haul, diesel powered, Central@Northern America","Transport, single unit truck, short-haul, diesel powered@Transport, single unit truck, short-haul, diesel powered, Central@Northern America",Northern America
"Transport, single unit truck, short-haul, diesel powered, East North Central","Transport, single unit truck, short-haul, diesel powered, East North Central@Northern America","Transport, single unit truck, short-haul, diesel powered@Transport, single unit truck, short-haul, diesel powered, East North Central@Northern America",Northern America
"Transport, single unit truck, short-haul, diesel powered, Hawaii","Transport, single unit truck, short-haul, diesel powered, Hawaii@Northern America","Transport, single unit truck, short-haul, diesel powered@Transport, single unit truck, short-haul, diesel powered, Hawaii@Northern America",Northern America
"Transport, single unit truck, short-haul, diesel powered, Northeast","Transport, single unit truck, short-haul, diesel powered, Northeast@Northern America","Transport, single unit truck, short-haul, diesel powered@Transport, single unit truck, short-haul, diesel powered, Northeast@Northern America",Northern America
"Transport, single unit truck, short-haul, diesel powered, Northwest","Transport, single unit truck, short-haul, diesel powered, Northwest@Northern America","Transport, single unit truck, short-haul, diesel powered@Transport, single unit truck, short-haul, diesel powered, Northwest@Northern America",Northern America
"Transport, single unit truck, short-haul, diesel powered, South","Transport, single unit truck, short-haul, diesel powered, South@Northern America","Transport, single unit truck, short-haul, diesel powered@Transport, single unit truck, short-haul, diesel powered, South@Northern America",Northern America
"Transport, single unit truck, short-haul, diesel powered, Southeast","Transport, single unit truck, short-haul, diesel powered, Southeast@Northern America","Transport, single unit truck, short-haul, diesel powered@Transport, single unit truck, short-haul, diesel powered, Southeast@Northern America",Northern America
"Transport, single unit truck, short-haul, diesel powered, Southwest","Transport, single unit truck, short-haul, diesel powered, Southwest@Northern America","Transport, single unit truck, short-haul, diesel powered@Transport, single unit truck, short-haul, diesel powered, Southwest@Northern America",Northern America
"Transport, single unit truck, short-haul, diesel powered, West North Central","Transport, single unit truck, short-haul, diesel powered, West North Central@Northern America","Transport, single unit truck, short-haul, diesel powered@Transport, single unit truck, short-haul, diesel powered, West North Central@Northern America",Northern America
"Transport, single unit truck, short-haul, diesel powered, West","Transport, single unit truck, short-haul, diesel powered, West@Northern America","Transport, single unit truck, short-haul, diesel powered@Transport, single unit truck, short-haul, diesel powered, West@Northern America",Northern America
"Transport, single unit truck, short-haul, diesel powered","Transport, single unit truck, short-haul, diesel powered@Northern America","Transport, single unit truck, short-haul, diesel powered@Transport, single unit truck, short-haul, diesel powered@Northern America",Northern America
"Transport, single unit truck, short-haul, gasoline powered, Alaska","Transport, single unit truck, short-haul, gasoline powered, Alaska@Northern America","Transport, single unit truck, short-haul, gasoline powered@Transport, single unit truck, short-haul, gasoline powered, Alaska@Northern America",Northern America
"Transport, single unit truck, short-haul, gasoline powered, Central","Transport, single unit truck, short-haul, gasoline powered, Central@Northern America","Transport, single unit truck, short-haul, gasoline powered@Transport, single unit truck, short-haul, gasoline powered, Central@Northern America",Northern America
"Transport, single unit truck, short-haul, gasoline powered, East North Central","Transport, single unit truck, short-haul, gasoline powered, East North Central@Northern America","Transport, single unit truck, short-haul, gasoline powered@Transport, single unit truck, short-haul, gasoline powered, East North Central@Northern America",Northern America
"Transport, single unit truck, short-haul, gasoline powered, Hawaii","Transport, single unit truck, short-haul, gasoline powered, Hawaii@Northern America","Transport, single unit truck, short-haul, gasoline powered@Transport, single unit truck, short-haul, gasoline powered, Hawaii@Northern America",Northern America
"Transport, single unit truck, short-haul, gasoline powered, Northeast","Transport, single unit truck, short-haul, gasoline powered, Northeast@Northern America","Transport, single unit truck, short-haul, gasoline powered@Transport, single unit truck, short-haul, gasoline powered, Northeast@Northern America",Northern America
"Transport, single unit truck, short-haul, gasoline powered, Northwest","Transport, single unit truck, short-haul, gasoline powered, Northwest@Northern America","Transport, single unit truck, short-haul, gasoline powered@Transport, single unit truck, short-haul, gasoline powered, Northwest@Northern America",Northern America
"Transport, single unit truck, short-haul, gasoline powered, South","Transport, single unit truck, short-haul, gasoline powered, South@Northern America","Transport, single unit truck, short-haul, gasoline powered@Transport, single unit truck, short-haul, gasoline powered, South@Northern America",Northern America
"Transport, single unit truck, short-haul, gasoline powered, Southeast","Transport, single unit truck, short-haul, gasoline powered, Southeast@Northern America","Transport, single unit truck, short-haul, gasoline powered@Transport, single unit truck, short-haul, gasoline powered, Southeast@Northern America",Northern America
"Transport, single unit truck, short-haul, gasoline powered, Southwest","Transport, single unit truck, short-haul, gasoline powered, Southwest@Northern America","Transport, single unit truck, short-haul, gasoline powered@Transport, single unit truck, short-haul, gasoline powered, Southwest@Northern America",Northern America
"Transport, single unit truck, short-haul, gasoline powered, West North Central","Transport, single unit truck, short-haul, gasoline powered, West North Central@Northern America","Transport, single unit truck, short-haul, gasoline powered@Transport, single unit truck, short-haul, gasoline powered, West North Central@Northern America",Northern America
"Transport, single unit truck, short-haul, gasoline powered, West","Transport, single unit truck, short-haul, gasoline powered, West@Northern America","Transport, single unit truck, short-haul, gasoline powered@Transport, single unit truck, short-haul, gasoline powered, West@Northern America",Northern America
"Transport, single unit truck, short-haul, gasoline powered","Transport, single unit truck, short-haul, gasoline powered@Northern America","Transport, single unit truck, short-haul, gasoline powered@Transport, single unit truck, short-haul, gasoline powered@Northern America",Northern America
"Transport, train, diesel powered","Transport, train, diesel powered@Northern America","Transport, train, diesel powered@Transport, train, diesel powered@Northern America",Northern America
"Transport, transit bus, CNG powered","Transport, transit bus, CNG powered@Northern America","Transport, transit bus, CNG powered@Transport, transit bus, CNG powered@Northern America",Northern America
"Transport, transit bus, diesel powered, Alaska","Transport, transit bus, diesel powered, Alaska@Northern America","Transport, transit bus, diesel powered@Transport, transit bus, diesel powered, Alaska@Northern America",Northern America
"Transport, transit bus, diesel powered, Central","Transport, transit bus, diesel powered, Central@Northern America","Transport, transit bus, diesel powered@Transport, transit bus, diesel powered, Central@Northern America",Northern America
"Transport, transit bus, diesel powered, East North Central","Transport, transit bus, diesel powered, East North Central@Northern America","Transport, transit bus, diesel powered@Transport, transit bus, diesel powered, East North Central@Northern America",Northern America
"Transport, transit bus, diesel powered, Hawaii","Transport, transit bus, diesel powered, Hawaii@Northern America","Transport, transit bus, diesel powered@Transport, transit bus, diesel powered, Hawaii@Northern America",Northern America
"Transport, transit bus, diesel powered, Northeast","Transport, transit bus, diesel powered, Northeast@Northern America","Transport, transit bus, diesel powered@Transport, transit bus, diesel powered, Northeast@Northern America",Northern America
"Transport, transit bus, diesel powered, Northwest","Transport, transit bus, diesel powered, Northwest@Northern America","Transport, transit bus, diesel powered@Transport, transit bus, diesel powered, Northwest@Northern America",Northern America
"Transport, transit bus, diesel powered, South","Transport, transit bus, diesel powered, South@Northern America","Transport, transit bus, diesel powered@Transport, transit bus, diesel powered, South@Northern America",Northern America
"Transport, transit bus, diesel powered, Southeast","Transport, transit bus, diesel powered, Southeast@Northern America","Transport, transit bus, diesel powered@Transport, transit bus, diesel powered, Southeast@Northern America",Northern America
"Transport, transit bus, diesel powered, Southwest","Transport, transit bus, diesel powered, Southwest@Northern America","Transport, transit bus, diesel powered@Transport, transit bus, diesel powered, Southwest@Northern America",Northern America
"Transport, transit bus, diesel powered, West North Central","Transport, transit bus, diesel powered, West North Central@Northern America","Transport, transit bus, diesel powered@Transport, transit bus, diesel powered, West North Central@Northern America",Northern America
"Transport, transit bus, diesel powered, West","Transport, transit bus, diesel powered, West@Northern America","Transport, transit bus, diesel powered@Transport, transit bus, diesel powered, West@Northern America",Northern America
"Transport, transit bus, diesel powered","Transport, transit bus, diesel powered@Northern America","Transport, transit bus, diesel powered@Transport, transit bus, diesel powered@Northern America",Northern America
"Transport, transit bus, gasoline powered","Transport, transit bus, gasoline powered@Northern America","Transport, transit bus, gasoline powered@Transport, transit bus, gasoline powered@Northern America",Northern America
"Turpentine, at bleached kraft market pulp mill","Turpentine, at bleached kraft market pulp mill@Pulp, kraft market, bleached, average production, at mill","Turpentine, at bleached kraft market pulp mill@Pulp, kraft market, bleached, average production, at mill@Northern America",Northern America
"Turpentine, at coated freesheet mill","Turpentine, at coated freesheet mill@Paper, freesheet, coated, average production, at mill","Turpentine, at coated freesheet mill@Paper, freesheet, coated, average production, at mill@Northern America",Northern America
"Turpentine, at coated mechanical paper mill","Turpentine, at coated mechanical paper mill@Paper, mechanical, coated, average production, at mill","Turpentine, at coated mechanical paper mill@Paper, mechanical, coated, average production, at mill@Northern America",Northern America
"Turpentine, at unbleached kraft bag and sack paper mill","Turpentine, at unbleached kraft bag and sack paper mill@Paper, bag and sack, unbleached kraft, average production, at mill","Turpentine, at unbleached kraft bag and sack paper mill@Paper, bag and sack, unbleached kraft, average production, at mill@Northern America",Northern America
"Turpentine, at uncoated freesheet mill","Turpentine, at uncoated freesheet mill@Paper, freesheet, uncoated, average production, at mill, 2006","Turpentine, at uncoated freesheet mill@Paper, freesheet, uncoated, average production, at mill, 2006@Northern America",Northern America
"Turpentine, at uncoated mechanical paper mill","Turpentine, at uncoated mechanical paper mill@Paper, mechanical, uncoated, average production, at mill","Turpentine, at uncoated mechanical paper mill@Paper, mechanical, uncoated, average production, at mill@Northern America",Northern America
"Unsaturated polyester, UPR, resin, at plant","Unsaturated polyester, UPR, resin, at plant@Unsaturated polyester, UPR, resin, at plant","Unsaturated polyester, UPR, resin, at plant@Unsaturated polyester, UPR, resin, at plant@United States",United States
"Unsaturated polyester, UPR, scrap resin, at plant","Unsaturated polyester, UPR, scrap resin, at plant@Unsaturated polyester, UPR, resin, at plant","Unsaturated polyester, UPR, scrap resin, at plant@Unsaturated polyester, UPR, resin, at plant@United States",United States
"Urea formaldehyde, UF, resin, neat, 65% solids","Urea formaldehyde, UF, resin, neat, 65% solids@Northern America","Urea formaldehyde, UF, resin, neat, 65% solids@Urea formaldehyde, UF, resin, neat, 65% solids@Northern America",Northern America
"Vacuum infusion, rigid composites part, at plant","Vacuum infusion, rigid composites part, at plant@Vacuum infusion, rigid composites part, at plant","Vacuum infusion, rigid composites part, at plant@Vacuum infusion, rigid composites part, at plant@United States",United States
Veneer; hardwood; dry; at veneer mill,"Veneer; hardwood; dry; at veneer mill@Veneer, hardwood, dry, at veneer mill, E","Veneer; hardwood; dry; at veneer mill@Veneer, hardwood, dry, at veneer mill, E@United States",United States
Veneer; hardwood; green; at veneer mill,"Veneer; hardwood; green; at veneer mill@Veneer, hardwood, green, at veneer mill, E","Veneer; hardwood; green; at veneer mill@Veneer, hardwood, green, at veneer mill, E@United States",United States
Waste (deposited),"Waste (deposited)@Aluminum, cold rolling, at plant","Waste (deposited)@Aluminum, cold rolling, at plant@Northern America",Northern America
Waste in inert landfill,"Waste in inert landfill@Natural soda ash (Sodium carbonate), at plant","Waste in inert landfill@Natural soda ash (Sodium carbonate), at plant@United States",United States
"Waste, industrial","Waste, industrial@Corn steep liquor","Waste, industrial@Corn steep liquor@Northern America",Northern America
"Waste, unspecified","Waste, unspecified@Corn steep liquor","Waste, unspecified@Corn steep liquor@Northern America",Northern America
"Water (groundwater from technosphere, waste water)","Water (groundwater from technosphere, waste water)@Steel, stainless 304, flat rolled coil","Water (groundwater from technosphere, waste water)@Steel, stainless 304, flat rolled coil@Northern America",Northern America
"Water (river water from technosphere, turbined)","Water (river water from technosphere, turbined)@Aluminum, cold rolling, at plant","Water (river water from technosphere, turbined)@Aluminum, cold rolling, at plant@Northern America",Northern America
"Water (river water from technosphere, waste water)","Water (river water from technosphere, waste water)@Aluminum, cold rolling, at plant","Water (river water from technosphere, waste water)@Aluminum, cold rolling, at plant@Northern America",Northern America
"Water (sea water from technosphere, cooling water)","Water (sea water from technosphere, cooling water)@Steel, stainless 304, flat rolled coil","Water (sea water from technosphere, cooling water)@Steel, stainless 304, flat rolled coil@Northern America",Northern America
"Water (sea water from technosphere, waste water)","Water (sea water from technosphere, waste water)@Aluminum, cold rolling, at plant","Water (sea water from technosphere, waste water)@Aluminum, cold rolling, at plant@Northern America",Northern America
"Wheat grains, at field","Wheat grains, at field@Wheat, at field","Wheat grains, at field@Wheat, at field@United States",United States
"Wheat straw, at conversion plant, 2022","Wheat straw, at conversion plant, 2022@Northern America","Wheat straw, at conversion plant@Wheat straw, at conversion plant, 2022@Northern America",Northern America
"Wheat straw, at field","Wheat straw, at field@Wheat, at field","Wheat straw, at field@Wheat, at field@United States",United States
"White mineral oil, at plant","White mineral oil, at plant@Northern America","White mineral oil, at plant@White mineral oil, at plant@Northern America",Northern America
"Winter wheat straw, carted","Winter wheat straw, carted@Northern America","Winter wheat straw, carted@Winter wheat straw, carted@Northern America",Northern America
"Winter wheat straw, ground and stored","Winter wheat straw, ground and stored@Northern America","Winter wheat straw, ground and stored@Winter wheat straw, ground and stored@Northern America",Northern America
"Winter wheat straw, production, average, US, 2022","Winter wheat straw, production, average, US, 2022@Northern America","Winter wheat straw, production@Winter wheat straw, production, average, US, 2022@Northern America",Northern America
"Wood Combusted, at boiler, at cellulosic fiberboard mill","Wood Combusted, at boiler, at cellulosic fiberboard mill@Wood Combusted, at boiler, at cellulosic fiberboard mill","Wood Combusted, at boiler, at cellulosic fiberboard mill@Wood Combusted, at boiler, at cellulosic fiberboard mill@Northern America",Northern America
"Wood Combusted, at boiler, at hardboard mill","Wood Combusted, at boiler, at hardboard mill@Wood Combusted, at boiler, at hardboard mill","Wood Combusted, at boiler, at hardboard mill@Wood Combusted, at boiler, at hardboard mill@Northern America",Northern America
"Wood ash, at boiler, at cellulosic fiberboard mill","Wood ash, at boiler, at cellulosic fiberboard mill@Wood Combusted, at boiler, at cellulosic fiberboard mill","Wood ash, at boiler, at cellulosic fiberboard mill@Wood Combusted, at boiler, at cellulosic fiberboard mill@Northern America",Northern America
"Wood ash, generated on-site, at hardboard mill","Wood ash, generated on-site, at hardboard mill@Wood Combusted, at boiler, at hardboard mill","Wood ash, generated on-site, at hardboard mill@Wood Combusted, at boiler, at hardboard mill@Northern America",Northern America
Wood chips; hardwood; green; at sawmill,"Wood chips; hardwood; green; at sawmill@Sawn lumber, hardwood, rough, green, at sawmill, NE-NC","Wood chips; hardwood; green; at sawmill@Sawn lumber, hardwood, rough, green, at sawmill, NE-NC@United States",United States
