product,process,conjoined_flownames,location
High radioactive wastes,"High radioactive wastes@Aluminum, cold rolling, at plant","High radioactive wastes@Aluminum, cold rolling, at plant@Northern America",Northern America
"Hog fuel, pur., combusted in industrial boiler, at pulp and paper mill (EXCL.)","Hog fuel, pur., combusted in industrial boiler, at pulp and paper mill (EXCL.)@Northern America","Hog fuel, pur., combusted in industrial boiler, at pulp and paper mill (EXCL.)@Hog fuel, pur., combusted in industrial boiler, at pulp and paper mill (EXCL.)@Northern America",Northern America
"Hog fuel, self-gen., combusted in ind. boiler, at pulp and paper mill (EXCL.)","Hog fuel, self-gen., combusted in ind. boiler, at pulp and paper mill (EXCL.)@Northern America","Hog fuel, self-gen., combusted in ind. boiler, at pulp and paper mill (EXCL.)@Hog fuel, self-gen., combusted in ind. boiler, at pulp and paper mill (EXCL.)@Northern America",Northern America
Hogged fuel; hardwood; green; at sawmill,"Hogged fuel; hardwood; green; at sawmill@Sawn lumber, hardwood, rough, green, at sawmill, NE-NC","Hogged fuel; hardwood; green; at sawmill@Sawn lumber, hardwood, rough, green, at sawmill, NE-NC@United States",United States
"Hot rolled sheet, steel, at plant","Hot rolled sheet, steel, at plant@Northern America","Hot rolled sheet, steel, at plant@Hot rolled sheet, steel, at plant@Northern America",Northern America
"Hydrochloric acid, at plant ","Hydrochloric acid, at plant @Northern America","Hydrochloric acid, at plant @Hydrochloric acid, at plant @Northern America",Northern America
"Hydrogen, liquid, synthesis gas, at plant","Hydrogen, liquid, synthesis gas, at plant@Northern America","Hydrogen, liquid, synthesis gas, at plant@Hydrogen, liquid, synthesis gas, at plant@Northern America",Northern America
"Injection molding, rigid LLDPE part, at plant","Injection molding, rigid LLDPE part, at plant@Injection molding, rigid LLDPE part, at plant","Injection molding, rigid LLDPE part, at plant@Injection molding, rigid LLDPE part, at plant@Northern America",Northern America
"Injection molding, rigid polypropylene part, at plant","Injection molding, rigid polypropylene part, at plant@Injection molding, rigid polypropylene part, at plant","Injection molding, rigid polypropylene part, at plant@Injection molding, rigid polypropylene part, at plant@Northern America",Northern America
"Iron and steel, production mix","Iron and steel, production mix@Northern America","Iron and steel, production mix@Iron and steel, production mix@Northern America",Northern America
"Iron, sand casted","Iron, sand casted@Northern America","Iron, sand casted@Iron, sand casted@Northern America",Northern America
"Kerosene, at refinery","Kerosene, at refinery@Petroleum refining, at refinery","Kerosene, at refinery@Petroleum refining, at refinery@Northern America",Northern America
"LLDPE scrap, from LLDPE injection molding, at plant","LLDPE scrap, from LLDPE injection molding, at plant@Injection molding, rigid LLDPE part, at plant","LLDPE scrap, from LLDPE injection molding, at plant@Injection molding, rigid LLDPE part, at plant@Northern America",Northern America
"LPG, combusted in industrial boiler, at pulp and paper mill (EXCL.)","LPG, combusted in industrial boiler, at pulp and paper mill (EXCL.)@Northern America","LPG, combusted in industrial boiler, at pulp and paper mill (EXCL.)@LPG, combusted in industrial boiler, at pulp and paper mill (EXCL.)@Northern America",Northern America
"Lignite coal, at surface mine","Lignite coal, at surface mine@Northern America","Lignite coal, at surface mine@Lignite coal, at surface mine@Northern America",Northern America
