scenario,behavior,characteristics,mean,standard_deviation,min,max,value_absence,value_presence,independent_charac,booleans,strings
Arkansas,wishcycling,sn,0.0114155253333333,1e-06,0.0,1.0,trash,wishcycling,False,,
California,recycling,att,0.84,0.1,0.0,1.0,0,1,True,,
California,recycling,availability,,,,,,,,True,
California,recycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
California,recycling,ds,0.027867345,1e-06,0.0,1.0,0,1,True,,
California,recycling,err,0.5,0.0669537823002131,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
California,recycling,households,561.9621747,60.40043943,461.8569275,662.1368689,,,True,,
California,recycling,ht,0.67167757,0.119905606,0.0,1.0,0,1,True,,
California,recycling,kn,0.307587604,0.067870249,0.0,1.0,0,1,True,,
California,recycling,name,,,,,,,,,recycling
California,recycling,ns,0.580181514,1e-06,0.0,1.0,0,1,True,,
California,recycling,pbc,1.0,1e-06,0.0,1.0,0,1,True,,
California,recycling,pr,0.6506849316666666,1e-06,0.0,1.0,0,1,True,,
California,recycling,sn,0.6506849316666666,1e-06,0.0,1.0,trash,recycling,False,,
California,trash,att,0.0,1e-06,0.0,1.0,0,1,True,,
California,trash,availability,,,,,,,,True,
California,trash,bin,1.0,1e-06,0.0,1.0,0,1,True,,
California,trash,ds,0.0,1e-06,0.0,1.0,0,1,True,,
California,trash,err,0.0,1e-06,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
California,trash,households,561.9621747,60.40043943,461.8569275,662.1368689,,,True,,
California,trash,ht,1.0,1e-06,0.0,1.0,0,1,True,,
California,trash,kn,1.0,1e-06,0.0,1.0,0,1,True,,
California,trash,name,,,,,,,,,trash
California,trash,ns,0.0,1e-06,0.0,1.0,0,1,True,,
California,trash,pbc,1.0,1e-06,0.0,1.0,0,1,True,,
California,trash,pr,0.219178082,1e-06,0.0,1.0,0,1,True,,
California,trash,sn,0.219178082,1e-06,0.0,1.0,recycling,trash,False,,
California,wishcycling,att,0.0,0.1,0.0,1.0,0,1,True,,
California,wishcycling,availability,,,,,,,,True,
California,wishcycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
California,wishcycling,ds,0.027867345,1e-06,0.0,1.0,0,1,True,,
California,wishcycling,err,-0.5,0.0669537823002131,-2.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
California,wishcycling,households,561.9621747,60.40043943,461.8569275,662.1368689,,,True,,
California,wishcycling,ht,0.67167757,0.119905606,0.0,1.0,0,1,True,,
California,wishcycling,kn,0.307587604,0.067870249,0.0,1.0,0,1,True,,
California,wishcycling,name,,,,,,,,,wishcycling
California,wishcycling,ns,0.580181514,1e-06,0.0,1.0,0,1,True,,
California,wishcycling,pbc,1.0,1e-06,0.0,1.0,0,1,True,,
California,wishcycling,pr,0.1301369863333333,1e-06,0.0,1.0,0,1,True,,
California,wishcycling,sn,0.1301369863333333,1e-06,0.0,1.0,trash,wishcycling,False,,
Colorado,recycling,att,0.84,0.1,0.0,1.0,0,1,True,,
Colorado,recycling,availability,,,,,,,,True,
Colorado,recycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Colorado,recycling,ds,0.172451785,1e-06,0.0,1.0,0,1,True,,
Colorado,recycling,err,-1.0,0.0500409052078838,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Colorado,recycling,households,608.4354473,60.40911665,508.3250283,708.6237259,,,True,,
Colorado,recycling,ht,0.717533251,0.11262082,0.0,1.0,0,1,True,,
Colorado,recycling,kn,0.312327407,0.065154918,0.0,1.0,0,1,True,,
Colorado,recycling,name,,,,,,,,,recycling
Colorado,recycling,ns,0.636963561,1e-06,0.0,1.0,0,1,True,,
Colorado,recycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
Colorado,recycling,pr,0.0913242016666666,1e-06,0.0,1.0,0,1,True,,
Colorado,recycling,sn,0.0913242016666666,1e-06,0.0,1.0,trash,recycling,False,,
Colorado,trash,att,0.0,1e-06,0.0,1.0,0,1,True,,
Colorado,trash,availability,,,,,,,,True,
Colorado,trash,bin,1.0,1e-06,0.0,1.0,0,1,True,,
Colorado,trash,ds,0.0,1e-06,0.0,1.0,0,1,True,,
Colorado,trash,err,0.0,1e-06,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Colorado,trash,households,608.4354473,60.40911665,508.3250283,708.6237259,,,True,,
Colorado,trash,ht,1.0,1e-06,0.0,1.0,0,1,True,,
Colorado,trash,kn,1.0,1e-06,0.0,1.0,0,1,True,,
Colorado,trash,name,,,,,,,,,trash
