year,vmanuf_to_use,use_to_dispose,dispose_to_landfill,dispose_to_collection,dispose_to_mrf,dispose_to_wte_uncollected,dispose_to_wte_collected,mrf_to_m_reclaimer,mrf_to_c_reclaimer,mrf_to_c_upcycler,mrf_to_ppo_reclaimer,mrf_to_frp_reclaimer,mrf_to_landfill,m_reclaimer_to_manuf,m_reclaimer_to_landfill,c_reclaimer_to_manuf,c_reclaimer_to_landfill,rmanuf_to_use,rmanuf_to_landfill,cl_recycled,downcycled,wte_energy,pyrolysis_fuel_oil,fiber_reinforced_resin,plastic_demand_data,total_bale_quantity,total_bale_quantity_mechanical_reclaimer,total_bale_quantity_chemical_reclaimer,total_bale_quantity_upcycling_reclaimer,total_bale_quantity_pyrolysis_reclaimer,total_bale_quantity_fiber_reinforced_resin_reclaimer,landfill,cl_circularity,ol_circularity,u_circularity_ppo,u_circularity_frp,u_circularity,wte_circularity,linear_flow_index,material_circularity_index_recycling,material_circularity_index_downcycling,material_circularity_index_pyrolysis,material_circularity_index_fiber_reinforced_resin,material_circularity_index_incineration,utility_factor_incineration,utility_factor_recycling,utility_factor_downcycling,utility_factor_pyrolysis,utility_fiber_reinforced_resin,material_circularity_index,scenario
2040,8696.130472378753,10863.211891198165,6771.466457166209,3339.3602721245998,3339.3602721245998,752.3851619073566,0.0,0.0,3038.817847633386,0.0,0.0,0.0,300.5424244912137,0.0,0.0,2309.5015642013736,729.3162834320127,2309.5015642013736,0.0,2309.5015642013736,0.0,206905919.52452305,0.0,0.0,502568.3999999984,4567.0565298920665,0.0,4567.0565298920665,0.0,0.0,0.0,7801.325165089435,0.2125984089542274,0.0,0.0,0.0,0.0,0.0692599177336282,0.5600985522732882,0.4959113029540406,0.32788173727205416,0.22447892762160093,0.974795565147702,0.1598521715900677,0.6,1.0,0.75,0.65,20.0,0.11650130224431679,chemical recycling
2041,8849.756977060248,11047.665955849005,6905.301878968613,3375.1083125505456,3375.1083125505456,767.2557643298459,0.0,0.0,3071.348564420997,0.0,0.0,0.0,303.7597481295489,0.0,0.0,2334.2249089599577,737.1236554610392,2334.2249089599577,0.0,2334.2249089599577,0.0,210995335.19070762,0.0,0.0,511101.8599999988,4616.287652628313,0.0,4616.287652628313,0.0,0.0,0.0,7946.185282559201,0.21128670239383376,0.0,0.0,0.0,0.0,0.06944958033634561,0.5622081306260225,0.4940126824365797,0.32535024324877293,0.22155797297935342,0.974700634121829,0.15668780406096616,0.6,1.0,0.75,0.65,20.0,0.11526021284861478,chemical recycling
2042,9011.350869322712,11232.120020499844,7021.468400041058,3430.4884648986686,3430.4884648986686,780.1631555601176,0.0,0.0,3121.7445030577883,0.0,0.0,0.0,308.7439618408801,0.0,0.0,2372.5258223239193,749.2186807338692,2372.5258223239193,0.0,2372.5258223239193,0.0,214544867.77903232,0.0,0.0,519635.31999999925,4693.575832614268,0.0,4693.575832614268,0.0,0.0,0.0,8079.431042615807,0.2112268937648281,0.0,0.0,0.0,0.0,0.06945822820057432,0.5618110963470953,0.4943700132876142,0.3258266843834856,0.2221077127501757,0.9747185006643807,0.157283355479357,0.6,1.0,0.75,0.65,20.0,0.11534886547425677,chemical recycling
2043,9159.367192979802,11416.574085150683,7141.231220822156,3481.8727286816215,3481.8727286816215,793.4701356469062,0.0,0.0,3168.504183100276,0.0,0.0,0.0,313.36854558134587,0.0,0.0,2408.0631791562096,760.4410039440662,2408.0631791562096,0.0,2408.0631791562096,0.0,218204287.3028992,0.0,0.0,528168.7799999997,4766.129969975263,0.0,4766.129969975263,0.0,0.0,0.0,8215.040770347567,0.21092695244612222,0.0,0.0,0.0,0.0,0.06950159739067059,0.5623431444660735,0.49389116998053384,0.3251882266407118,0.22137103073928288,0.9746945584990266,0.15648528330088973,0.6,1.0,0.75,0.65,20.0,0.11505093648158721,chemical recycling
2044,9310.14707316856,11601.028149801523,7266.084467043777,3527.6009641973255,3527.6009641973255,807.3427185604197,0.0,0.0,3210.1168774195667,0.0,0.0,0.0,317.48408677775916,0.0,0.0,2439.6888268388707,770.4280505806959,2439.6888268388707,0.0,2439.6888268388707,0.0,222019247.60411543,0.0,0.0,536702.2400000001,4829.55487738192,0.0,4829.55487738192,0.0,0.0,0.0,8353.996604402233,0.2102993627233471,0.0,0.0,0.0,0.0,0.06959234200067278,0.5633615901489158,0.4929745688659757,0.32396609182130087,0.2199608751784241,0.9746487284432988,0.15495761477662606,0.6,1.0,0.75,0.65,20.0,0.11445610099447495,chemical recycling
2045,9464.83866250689,11785.482214452304,7385.52502562965,3579.3432970860254,3579.3432970860254,820.6138917366279,0.0,0.0,3257.202400348283,0.0,0.0,0.0,322.1408967377422,0.0,0.0,2475.4738242646954,781.7285760835879,2475.4738242646954,0.0,2475.4738242646954,0.0,225668820.22757268,0.0,0.0,545235.6999999979,4901.10389899084,0.0,4901.10389899084,0.0,0.0,0.0,8489.394498450982,0.21004433923196378,0.0,0.0,0.0,0.0,0.06962921642105788,0.5635838576514248,0.4927745281137177,0.32369937081829026,0.2196531201749503,0.9746387264056859,0.15462421352286282,0.6,1.0,0.75,0.65,20.0,0.11427086297530788,chemical recycling
2046,9615.370902102115,11969.936279103144,7500.63572464923,3635.8965850484433,3635.8965850484433,833.40396940547,0.0,0.0,3308.665892394084,0.0,0.0,0.0,327.23069265435976,0.0,0.0,2514.5860782195036,794.0798141745801,2514.5860782195036,0.0,2514.5860782195036,0.0,229186091.58650422,0.0,0.0,553769.1599999983,4981.683710183757,0.0,4981.683710183757,0.0,0.0,0.0,8621.946231478169,0.2100751432243974,0.0,0.0,0.0,0.0,0.06962476240248736,0.5634466877982698,0.4928979809815571,0.32386397464207617,0.21984304766393403,0.9746448990490778,0.1548299683025952,0.6,1.0,0.75,0.65,20.0,0.11432561370556976,chemical recycling
2047,9762.575885168357,12154.390343753983,7618.9869360499615,3688.8493036984696,3688.8493036984696,846.5541040055513,0.0,0.0,3356.8528663656075,0.0,0.0,0.0,331.9964373328621,0.0,0.0,2551.208178437862,805.6446879277457,2551.208178437862,0.0,2551.208178437862,0.0,232802378.60152662,0.0,0.0,562302.6199999987,5054.864754823853,0.0,5054.864754823853,0.0,0.0,0.0,8756.62806131057,0.2099001353653992,0.0,0.0,0.0,0.0,0.0696500671825623,0.5637911562594312,0.4925879593665119,0.32345061248868257,0.21936609133309526,0.9746293979683256,0.15431326561085312,0.6,1.0,0.75,0.65,20.0,0.11414220866735311,chemical recycling
2048,9912.27102197105,12338.844408404822,7736.2302678749,3743.0329996549326,3743.0329996549326,859.5811408749889,0.0,0.0,3406.160029685989,0.0,0.0,0.0,336.87296996894383,0.0,0.0,2588.6816225613516,817.4784071246373,2588.6816225613516,0.0,2588.6816225613516,0.0,236384813.74062195,0.0,0.0,570836.0799999991,5131.148784173057,0.0,5131.148784173057,0.0,0.0,0.0,8890.58164496848,0.20979935696393295,0.0,0.0,0.0,0.0,0.06966463895836712,0.5639195131205874,0.49247243819147135,0.32329658425529517,0.21918836644841744,0.9746236219095735,0.15412073031911888,0.6,1.0,0.75,0.65,20.0,0.11405716588871218,chemical recycling
2049,10061.11481486861,12523.29847305566,7850.914535923598,3800.060099807219,3800.060099807219,872.3238373248442,0.0,0.0,3458.054690824569,0.0,0.0,0.0,342.0054089826496,0.0,0.0,2628.1215650266727,829.9331257978967,2628.1215650266727,0.0,2628.1215650266727,0.0,239889055.26433215,0.0,0.0,579369.5399999996,5207.842362892795,0.0,5207.842362892795,0.0,0.0,0.0,9022.853070704145,0.20985857445473918,0.0,0.0,0.0,0.0,0.06965607656814067,0.5637921375847461,0.49258707617372843,0.3234494348983046,0.2193647325749668,0.9746293538086864,0.15431179362288072,0.6,1.0,0.75,0.65,20.0,0.11412237571260916,chemical recycling
