year,process,impacts,name,corrected_name,scenario,impact
2020,"PET, collection","Human health CF  [CTUnoncancer], Emission to cont. natural soil, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to cont. natural soil, non-canc.","Human health CF  [CTUnoncancer], Emission to cont. natural soil, non-canc.",chemical recycling,0.062305949371999646
2020,"PET, collection","Human health CF  [CTUnoncancer], Emission to cont. rural air, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to cont. rural air, non-canc.","Human health CF  [CTUnoncancer], Emission to cont. rural air, non-canc.",chemical recycling,0.1374694170481085
2020,"PET, collection","Human health CF  [CTUnoncancer], Emission to cont. sea water, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to cont. sea water, non-canc.","Human health CF  [CTUnoncancer], Emission to cont. sea water, non-canc.",chemical recycling,0.009809313299074932
2020,"PET, collection","Human health CF  [CTUnoncancer], Emission to urban air, non-canc.","Human health CF  [CTUnoncancer/kg], Emission to urban air, non-canc.","Human health CF  [CTUnoncancer], Emission to urban air, non-canc.",chemical recycling,0.20954509413237601
2020,"PET, collection",Ozone Depletion Air (kg CFC-11 eq),Ozone Depletion Air (kg CFC-11 eq / kg substance),Ozone Depletion Air (kg CFC-11 eq),chemical recycling,2.9499793987874003
2020,"PET, collection",Smog Air (kg O3 eq ),Smog Air (kg O3 eq / kg substance),Smog Air (kg O3 eq ),chemical recycling,42357647.928617366
2020,"PET, electricity displaced",Acidification Air (kg SO2 eq),Acidification Air (kg SO2 eq / kg substance),Acidification Air (kg SO2 eq),chemical recycling,-314785.157063404
2020,"PET, electricity displaced","Ecotox. CF [CTUeco], Em.agr.soilC, freshwater","Ecotox. CF [CTUeco/kg], Em.agr.soilC, freshwater","Ecotox. CF [CTUeco], Em.agr.soilC, freshwater",chemical recycling,-63552.4650676405
2020,"PET, electricity displaced","Ecotox. CF [CTUeco], Em.airC, freshwater","Ecotox. CF [CTUeco/kg], Em.airC, freshwater","Ecotox. CF [CTUeco], Em.airC, freshwater",chemical recycling,-35783.5269064946
2020,"PET, electricity displaced","Ecotox. CF [CTUecokg], Em.airU, freshwater","Ecotox. CF [CTUeco/kg], Em.airU, freshwater","Ecotox. CF [CTUecokg], Em.airU, freshwater",chemical recycling,-35971.3745693789
2020,"PET, electricity displaced","Ecotox. CF [CTUecokg], Em.fr.waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.fr.waterC, freshwater","Ecotox. CF [CTUecokg], Em.fr.waterC, freshwater",chemical recycling,-1296960.5000833625
2020,"PET, electricity displaced","Ecotox. CF [CTUecokg], Em.nat.soilC, freshwater","Ecotox. CF [CTUeco/kg], Em.nat.soilC, freshwater","Ecotox. CF [CTUecokg], Em.nat.soilC, freshwater",chemical recycling,-63552.4650676405
2020,"PET, electricity displaced","Ecotox. CF [CTUecokg], Em.sea waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.sea waterC, freshwater","Ecotox. CF [CTUecokg], Em.sea waterC, freshwater",chemical recycling,-219.13862237999754
2020,"PET, electricity displaced",Eutrophication Air (kg N eq),Eutrophication Air (kg N eq / kg substance),Eutrophication Air (kg N eq),chemical recycling,-4570.179271286057
2020,"PET, electricity displaced",Eutrophication Water (kg N eq ),Eutrophication Water (kg N eq / kg substance),Eutrophication Water (kg N eq ),chemical recycling,-30113.9808641949
2020,"PET, electricity displaced",Global Warming Air (kg CO2 eq ),Global Warming Air (kg CO2 eq / kg substance),Global Warming Air (kg CO2 eq ),chemical recycling,-68423461.03148638
2020,"PET, electricity displaced",HH Particulate Air (PM2.5 eq ),HH Particulate Air (PM2.5 eq / kg substance),HH Particulate Air (PM2.5 eq ),chemical recycling,-15198.095093853915
2020,"PET, electricity displaced","Human health CF  [CTUcancer], Emission to cont. agric. Soil, cancer","Human health CF  [CTUcancer/kg], Emission to cont. agric. Soil, cancer","Human health CF  [CTUcancer], Emission to cont. agric. Soil, cancer",chemical recycling,-0.0027918976368901645
2020,"PET, electricity displaced","Human health CF  [CTUcancer], Emission to cont. freshwater, cancer","Human health CF  [CTUcancer/kg], Emission to cont. freshwater, cancer","Human health CF  [CTUcancer], Emission to cont. freshwater, cancer",chemical recycling,-0.005839065255170556
