,location,year,bale,material,value
264,West Virginia_Morgan,2020,hdpe_bale,glass,0.013736214978048
265,West Virginia_Morgan,2020,hdpe_bale,hdpe,58.78950703919999
266,West Virginia_Morgan,2020,hdpe_bale,paper,0.07201938128039109
267,West Virginia_Morgan,2020,hdpe_bale,pet,0.15397251843599946
268,West Virginia_Morgan,2020,hdpe_bale,film,0.01006481034198528
269,West Virginia_Morgan,2020,hdpe_bale,other,0.0
270,West Virginia_Morgan,2020,iron_bale,aluminum,0.0
271,West Virginia_Morgan,2020,iron_bale,cardboard,0.0
272,West Virginia_Morgan,2020,iron_bale,iron,0.23329169459999993
273,West Virginia_Morgan,2020,iron_bale,glass,0.0
274,West Virginia_Morgan,2020,iron_bale,hdpe,0.0
275,West Virginia_Morgan,2020,iron_bale,paper,0.0
276,West Virginia_Morgan,2020,iron_bale,pet,0.0
277,West Virginia_Morgan,2020,iron_bale,film,0.00040259241367941127
278,West Virginia_Morgan,2020,iron_bale,other,0.0
279,West Virginia_Morgan,2020,aluminum_bale,aluminum,4.827582800256
280,West Virginia_Morgan,2020,aluminum_bale,cardboard,0.0
281,West Virginia_Morgan,2020,aluminum_bale,iron,0.0
282,West Virginia_Morgan,2020,aluminum_bale,glass,0.08585134361280009
283,West Virginia_Morgan,2020,aluminum_bale,hdpe,0.0
284,West Virginia_Morgan,2020,aluminum_bale,paper,0.0
285,West Virginia_Morgan,2020,aluminum_bale,pet,0.0
286,West Virginia_Morgan,2020,aluminum_bale,film,0.0
287,West Virginia_Morgan,2020,aluminum_bale,other,0.0
288,Montana_Teton,2020,vacuum,aluminum,5.458532145
289,Montana_Teton,2020,vacuum,cardboard,278.38513939499995
290,Montana_Teton,2020,vacuum,iron,3.8209725015
291,Montana_Teton,2020,vacuum,glass,27.292660725
292,Montana_Teton,2020,vacuum,hdpe,32.751192870000004
293,Montana_Teton,2020,vacuum,paper,88.04084329695019
294,Montana_Teton,2020,vacuum,pet,49.126789305
295,Montana_Teton,2020,vacuum,film,7.571512492860765
296,Montana_Teton,2020,vacuum,other,1.6375596434999995
297,Montana_Teton,2020,film_bale,aluminum,0.0
298,Montana_Teton,2020,film_bale,cardboard,5.567702787899999
299,Montana_Teton,2020,film_bale,iron,0.0
300,Montana_Teton,2020,film_bale,glass,0.0
301,Montana_Teton,2020,film_bale,hdpe,0.0
302,Montana_Teton,2020,film_bale,paper,1.7608168659390038
303,Montana_Teton,2020,film_bale,pet,0.0
304,Montana_Teton,2020,film_bale,film,7.42008224300355
305,Montana_Teton,2020,film_bale,other,0.0
306,Montana_Teton,2020,cardboard_bale,aluminum,0.0
307,Montana_Teton,2020,cardboard_bale,cardboard,204.61307745532494
308,Montana_Teton,2020,cardboard_bale,iron,0.0
309,Montana_Teton,2020,cardboard_bale,glass,0.0
310,Montana_Teton,2020,cardboard_bale,hdpe,0.0
311,Montana_Teton,2020,cardboard_bale,paper,1.7256005286202236
312,Montana_Teton,2020,cardboard_bale,pet,0.0
313,Montana_Teton,2020,cardboard_bale,film,0.0
314,Montana_Teton,2020,cardboard_bale,other,0.0
315,Montana_Teton,2020,glass_bale,aluminum,0.0
316,Montana_Teton,2020,glass_bale,cardboard,0.0
317,Montana_Teton,2020,glass_bale,iron,0.0
318,Montana_Teton,2020,glass_bale,glass,26.47388090325
319,Montana_Teton,2020,glass_bale,hdpe,0.0
320,Montana_Teton,2020,glass_bale,paper,0.0
321,Montana_Teton,2020,glass_bale,pet,0.0
322,Montana_Teton,2020,glass_bale,film,0.0
323,Montana_Teton,2020,glass_bale,other,0.0
324,Montana_Teton,2020,pet_bale,aluminum,0.16375596434999995
325,Montana_Teton,2020,pet_bale,cardboard,3.342013598436978
326,Montana_Teton,2020,pet_bale,iron,0.0
327,Montana_Teton,2020,pet_bale,glass,0.06550238574
328,Montana_Teton,2020,pet_bale,hdpe,3.275119286999999
329,Montana_Teton,2020,pet_bale,paper,0.25366327770717323
330,Montana_Teton,2020,pet_bale,pet,44.70537826755
331,Montana_Teton,2020,pet_bale,film,0.029680328972014225
332,Montana_Teton,2020,pet_bale,other,0.08187798217499997
333,Montana_Teton,2020,hdpe_bale,aluminum,0.15884328541950055
334,Montana_Teton,2020,hdpe_bale,cardboard,3.174912918515126
335,Montana_Teton,2020,hdpe_bale,iron,0.0
336,Montana_Teton,2020,hdpe_bale,glass,0.06026219488079998
337,Montana_Teton,2020,hdpe_bale,hdpe,20.633251508100003
338,Montana_Teton,2020,hdpe_bale,paper,0.2409801138218146
339,Montana_Teton,2020,hdpe_bale,pet,0.04421411037449996
340,Montana_Teton,2020,hdpe_bale,film,0.02374426317761137
341,Montana_Teton,2020,hdpe_bale,other,0.07778408306624995
342,Montana_Teton,2020,iron_bale,aluminum,0.0
343,Montana_Teton,2020,iron_bale,cardboard,0.0
344,Montana_Teton,2020,iron_bale,iron,0.191048625075
345,Montana_Teton,2020,iron_bale,glass,0.0
346,Montana_Teton,2020,iron_bale,hdpe,0.0
347,Montana_Teton,2020,iron_bale,paper,0.0
348,Montana_Teton,2020,iron_bale,pet,0.0
349,Montana_Teton,2020,iron_bale,film,0.0009497705271044553
350,Montana_Teton,2020,iron_bale,other,0.0
351,Montana_Teton,2020,aluminum_bale,aluminum,4.23582094452
352,Montana_Teton,2020,aluminum_bale,cardboard,0.0
353,Montana_Teton,2020,aluminum_bale,iron,0.0
354,Montana_Teton,2020,aluminum_bale,glass,0.3766387180050004
355,Montana_Teton,2020,aluminum_bale,hdpe,0.0
356,Montana_Teton,2020,aluminum_bale,paper,0.0
357,Montana_Teton,2020,aluminum_bale,pet,0.0
358,Montana_Teton,2020,aluminum_bale,film,0.0
359,Montana_Teton,2020,aluminum_bale,other,0.0
360,North Carolina_Harnett,2020,vacuum,aluminum,75.839758815
361,North Carolina_Harnett,2020,vacuum,cardboard,5687.981911125
362,North Carolina_Harnett,2020,vacuum,iron,91.007710578
363,North Carolina_Harnett,2020,vacuum,glass,758.3975881499999
364,North Carolina_Harnett,2020,vacuum,hdpe,379.198794075
365,North Carolina_Harnett,2020,vacuum,paper,818.8825048011474
366,North Carolina_Harnett,2020,vacuum,pet,758.3975881499999
367,North Carolina_Harnett,2020,vacuum,film,28.660316276129297
368,North Carolina_Harnett,2020,vacuum,other,22.7519276445
369,North Carolina_Harnett,2020,film_bale,aluminum,0.0
370,North Carolina_Harnett,2020,film_bale,cardboard,113.7596382225
371,North Carolina_Harnett,2020,film_bale,iron,0.0
372,North Carolina_Harnett,2020,film_bale,glass,0.0
373,North Carolina_Harnett,2020,film_bale,hdpe,0.0
374,North Carolina_Harnett,2020,film_bale,paper,16.37765009602295
375,North Carolina_Harnett,2020,film_bale,pet,0.0
376,North Carolina_Harnett,2020,film_bale,film,28.08710995060671
377,North Carolina_Harnett,2020,film_bale,other,0.0
