,Equipment,Fraction of equipment capacity utilized ,Rated motor capacity (kW),Diesel use(L/t),ops_list,total_flow,time,electricity kwh,region
6,magnet,0.85,4.0,0,magnet,254.7111206707672,64.82247372126797,305.04693515890807,Washington_Pend Oreille
7,eddy,0.85,9.0,0,eddy,301.71571937635326,64.82247372126797,686.3556041075432,Washington_Pend Oreille
0,vacuum,0.85,5.0,0,vacuum,5311.859079342255,177.06196931140852,1041.540995949462,Alabama_St. Clair
1,disc_screen1,0.85,8.5,0,disc_screen1,5230.608146847066,177.06196931140852,1770.6196931140853,Alabama_St. Clair
2,disc_screen2,0.85,5.5,0,disc_screen2,3051.78758611732,177.06196931140852,1145.695095544408,Alabama_St. Clair
3,glass_breaker,0.85,30.0,0,glass_breaker,3334.14162359992,177.06196931140852,6249.245975696772,Alabama_St. Clair
4,nir_hdpe,0.85,13.0,0,nir_hdpe,1236.8991601702614,177.06196931140852,2708.006589468601,Alabama_St. Clair
5,nir_pet,0.85,40.0,0,nir_pet,1914.722888119333,177.06196931140852,8332.327967595696,Alabama_St. Clair
6,magnet,0.85,4.0,0,magnet,924.9605696853204,177.06196931140852,833.2327967595695,Alabama_St. Clair
7,eddy,0.85,9.0,0,eddy,1235.061907801883,177.06196931140852,1874.7737927090313,Alabama_St. Clair
0,vacuum,0.85,5.0,0,vacuum,2999.2265870402334,99.97421956800778,588.0836445176928,Ohio_Lawrence
1,disc_screen1,0.85,8.5,0,disc_screen1,2954.607028238541,99.97421956800778,999.7421956800779,Ohio_Lawrence
2,disc_screen2,0.85,5.5,0,disc_screen2,1588.200050726972,99.97421956800778,646.8920089694622,Ohio_Lawrence
3,glass_breaker,0.85,30.0,0,glass_breaker,1905.8549426657717,99.97421956800778,3528.501867106157,Ohio_Lawrence
4,nir_hdpe,0.85,13.0,0,nir_hdpe,771.8886585660466,99.97421956800778,1529.0174757460015,Ohio_Lawrence
5,nir_pet,0.85,40.0,0,nir_pet,1317.2904138055658,99.97421956800778,4704.669156141543,Ohio_Lawrence
6,magnet,0.85,4.0,0,magnet,579.1047107298832,99.97421956800778,470.4669156141543,Ohio_Lawrence
7,eddy,0.85,9.0,0,eddy,769.1250851970519,99.97421956800778,1058.550560131847,Ohio_Lawrence
0,vacuum,0.85,5.0,0,vacuum,45600.45971680384,1520.0153238934613,8941.266611138008,Alabama_Jefferson
1,disc_screen1,0.85,8.5,0,disc_screen1,44902.94876652117,1520.0153238934613,15200.153238934614,Alabama_Jefferson
2,disc_screen2,0.85,5.5,0,disc_screen2,26198.5332830435,1520.0153238934613,9835.39327225181,Alabama_Jefferson
3,glass_breaker,0.85,30.0,0,glass_breaker,28622.4443318465,1520.0153238934613,53647.59966682805,Alabama_Jefferson
4,nir_hdpe,0.85,13.0,0,nir_hdpe,10618.348394527944,1520.0153238934613,23247.29318895882,Alabama_Jefferson
5,nir_pet,0.85,40.0,0,nir_pet,16437.228967177238,1520.0153238934613,71530.13288910406,Alabama_Jefferson
6,magnet,0.85,4.0,0,magnet,7940.4642644981805,1520.0153238934613,7153.013288910406,Alabama_Jefferson
7,eddy,0.85,9.0,0,eddy,10602.576222984528,1520.0153238934613,16094.279900048414,Alabama_Jefferson
